file_name,d1p,d1v,d1p,d1v,d1p,d1v
bearing/train/section_00_source_train_normal_0001_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0002_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0003_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0004_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0005_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0006_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0007_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0008_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0009_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0010_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0011_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0012_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0013_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0014_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0015_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0016_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0017_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0018_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0019_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0020_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0021_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0022_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0023_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0024_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0025_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0026_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0027_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0028_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0029_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0030_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0031_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0032_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0033_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0034_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0035_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0036_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0037_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0038_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0039_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0040_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0041_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0042_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0043_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0044_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0045_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0046_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0047_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0048_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0049_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0050_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0051_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0052_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0053_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0054_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0055_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0056_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0057_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0058_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0059_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0060_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0061_pro_A_vel_4_loc_A.wav,pro,A,vel,4,loc,A
bearing/train/section_00_source_train_normal_0062_pro_A_vel_12_loc_A.wav,pro,A,vel,12,loc,A
